reads	unique_genes	unique_isoforms	unique_genes_known	unique_isoforms_known
22050000	19989	226460	17775	52649
22100000	19993	226577	17778	52659
22150000	19999	226708	17781	52667
22200000	20002	226833	17781	52676
22250000	20003	226964	17782	52685
22300000	20009	227086	17783	52700
22350000	20014	227217	17786	52714
22400000	20015	227336	17787	52722
22450000	20019	227455	17788	52729
22500000	20021	227566	17790	52737
22550000	20023	227699	17792	52741
22600000	20029	227842	17796	52758
22650000	20032	227966	17797	52763
22700000	20034	228097	17799	52771
22750000	20037	228200	17800	52777
22800000	20039	228305	17801	52786
22850000	20042	228437	17803	52792
22900000	20046	228559	17804	52802
22950000	20049	228687	17805	52810
23000000	20055	228798	17806	52816
23050000	20059	228915	17808	52826
23100000	20063	229041	17810	52834
23150000	20064	229148	17811	52842
23200000	20066	229249	17813	52848
23250000	20070	229356	17814	52859
23300000	20074	229450	17816	52865
23350000	20077	229553	17818	52876
23400000	20082	229685	17821	52880
23450000	20085	229806	17824	52894
23500000	20085	229922	17824	52903
23550000	20090	230035	17827	52911
23600000	20093	230147	17829	52914
23650000	20097	230252	17830	52914
23700000	20101	230362	17833	52928
23750000	20105	230490	17836	52939
23800000	20109	230579	17839	52948
23850000	20112	230687	17840	52954
23900000	20115	230806	17842	52964
23950000	20118	230916	17843	52970
24000000	20121	231039	17845	52980
24050000	20121	231132	17845	52985
24100000	20129	231259	17849	52992
24150000	20135	231382	17853	53002
24200000	20137	231490	17853	53009
24250000	20140	231598	17856	53023
24300000	20145	231700	17859	53034
24350000	20147	231803	17860	53042
24400000	20150	231898	17861	53045
24450000	20153	231992	17863	53049
24500000	20158	232106	17866	53058
24550000	20159	232222	17867	53062
24600000	20161	232315	17868	53068
24650000	20166	232413	17870	53075
24700000	20171	232519	17874	53086
24750000	20176	232619	17877	53089
24800000	20176	232698	17877	53094
24850000	20182	232788	17880	53105
24900000	20187	232884	17883	53118
24950000	20190	232980	17885	53123
25000000	20191	233084	17886	53130
25050000	20195	233181	17889	53141
25100000	20199	233277	17891	53151
25150000	20200	233369	17892	53156
25200000	20204	233482	17895	53164
25250000	20206	233600	17895	53173
25300000	20213	233702	17899	53183
25350000	20217	233802	17902	53189
25400000	20217	233890	17902	53196
25450000	20223	233982	17907	53204
25500000	20229	234076	17910	53211
25550000	20234	234153	17911	53217
25600000	20235	234226	17912	53219
25650000	20236	234315	17912	53223
25700000	20240	234402	17915	53228
25750000	20240	234485	17915	53230
25800000	20243	234592	17916	53238
25850000	20246	234682	17918	53242
25900000	20247	234763	17919	53247
25950000	20251	234845	17922	53256
26000000	20255	234939	17922	53258
26050000	20258	235020	17922	53265
26100000	20260	235106	17924	53269
26150000	20265	235195	17927	53274
26200000	20268	235294	17929	53281
26250000	20273	235387	17931	53286
26300000	20277	235488	17932	53292
26350000	20279	235573	17933	53295
26400000	20279	235655	17933	53298
26450000	20281	235739	17935	53303
26500000	20282	235818	17936	53310
26550000	20285	235926	17938	53321
26600000	20287	236003	17939	53328
26650000	20291	236088	17942	53336
26700000	20292	236171	17943	53339
26750000	20292	236270	17943	53348
26800000	20295	236349	17944	53350
26850000	20299	236422	17947	53360
26900000	20305	236501	17950	53363
26950000	20307	236576	17950	53367
27000000	20308	236651	17951	53371
27050000	20308	236733	17951	53377
27100000	20313	236800	17953	53381
27150000	20316	236881	17955	53387
27200000	20316	236957	17955	53395
27250000	20317	237027	17956	53400
27300000	20319	237123	17958	53404
27350000	20319	237195	17958	53409
27400000	20324	237281	17962	53416
27450000	20324	237353	17962	53424
27500000	20326	237416	17962	53430
27550000	20327	237484	17963	53438
27600000	20328	237565	17964	53448
27650000	20328	237638	17964	53454
27700000	20330	237710	17966	53459
27750000	20334	237779	17969	53464
27800000	20336	237860	17970	53475
27850000	20338	237942	17972	53477
27900000	20341	238010	17972	53478
27950000	20342	238081	17972	53480
28000000	20342	238141	17972	53481
28050000	20343	238220	17973	53490
28100000	20344	238295	17974	53493
28150000	20348	238383	17976	53495
28200000	20348	238446	17976	53497
28250000	20349	238504	17977	53502
28300000	20356	238582	17979	53506
28350000	20358	238664	17981	53508
28400000	20362	238722	17983	53514
28450000	20365	238796	17986	53517
28500000	20367	238853	17986	53521
28550000	20369	238921	17988	53522
28600000	20371	238984	17989	53530
28650000	20375	239064	17991	53537
28700000	20376	239126	17992	53541
28750000	20380	239191	17994	53548
28800000	20382	239257	17996	53556
28850000	20384	239313	17997	53560
28900000	20385	239379	17997	53561
28950000	20386	239431	17998	53564
29000000	20387	239519	17999	53571
29050000	20388	239579	18000	53576
29100000	20388	239652	18000	53581
29150000	20389	239706	18000	53582
29200000	20391	239759	18001	53586
29250000	20391	239823	18001	53593
29300000	20397	239894	18005	53599
29350000	20400	239966	18006	53602
29400000	20400	240033	18006	53607
29450000	20401	240096	18006	53611
29500000	20403	240140	18006	53614
29550000	20405	240192	18006	53616
29600000	20407	240236	18007	53621
29650000	20410	240285	18009	53624
29700000	20411	240340	18010	53629
29750000	20412	240408	18011	53635
29800000	20415	240471	18013	53638
29850000	20419	240542	18016	53644
29900000	20419	240599	18016	53647
29950000	20420	240664	18016	53651
30000000	20421	240724	18017	53653
30050000	20423	240781	18019	53655
30100000	20425	240838	18019	53657
30150000	20427	240902	18020	53662
30200000	20427	240950	18020	53662
30250000	20427	241004	18020	53664
30300000	20427	241055	18020	53665
30350000	20427	241101	18020	53668
30400000	20429	241156	18021	53671
30450000	20434	241219	18025	53679
30500000	20437	241269	18025	53685
30550000	20437	241319	18025	53692
30600000	20438	241373	18025	53697
30650000	20442	241438	18029	53705
30700000	20445	241491	18030	53709
30750000	20446	241527	18030	53710
30800000	20449	241573	18032	53714
30850000	20452	241632	18034	53718
30900000	20454	241694	18035	53721
30950000	20456	241742	18036	53726
31000000	20457	241790	18037	53728
31050000	20458	241841	18037	53730
31100000	20463	241896	18041	53737
31150000	20464	241950	18041	53741
31200000	20465	241988	18042	53746
31250000	20466	242031	18043	53748
31300000	20469	242087	18044	53755
31350000	20471	242143	18045	53758
31400000	20474	242180	18047	53759
31450000	20476	242215	18048	53761
31500000	20477	242267	18049	53765
31550000	20480	242312	18052	53769
31600000	20481	242366	18053	53781
31650000	20482	242408	18054	53782
31700000	20485	242452	18055	53787
31750000	20485	242499	18055	53792
31800000	20486	242534	18055	53796
31850000	20486	242578	18055	53797
31900000	20488	242615	18056	53798
31950000	20489	242659	18057	53801
32000000	20489	242695	18057	53807
32050000	20489	242728	18057	53810
32100000	20490	242764	18058	53813
